Raccolte,IdPlaylist,IdCanzone
Raccolte,1,1
Raccolte,1,2
Raccolte,1,3
Raccolte,1,4
Raccolte,1,5
Raccolte,1,6
Raccolte,1,7
Raccolte,1,8
Raccolte,1,9
Raccolte,1,10
Raccolte,1,11
Raccolte,1,12
Raccolte,1,13
Raccolte,1,14
Raccolte,1,15
Raccolte,1,16
Raccolte,1,17
Raccolte,1,18
Raccolte,1,19
Raccolte,1,20
Raccolte,1,21
Raccolte,1,22
Raccolte,1,23
Raccolte,1,24
Raccolte,1,25
Raccolte,1,26
Raccolte,1,27
Raccolte,1,28
Raccolte,1,29
Raccolte,1,30
Raccolte,1,31
Raccolte,1,32
Raccolte,1,33
Raccolte,1,34
Raccolte,1,35
Raccolte,1,36
Raccolte,1,37
Raccolte,1,38
Raccolte,1,39
Raccolte,1,40
Raccolte,1,41
Raccolte,1,42
Raccolte,1,43
Raccolte,1,44
Raccolte,1,45
Raccolte,1,46
Raccolte,1,47